,num,long_title,status,author
769,SBN-384,an act abolishing the philippine travel tax imposed to filipinos departing from all international airports and seaports in the philippines,Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
771,SBN-382,"an act to impose the death penalty on the heinous crime of rape with homicide, amending for that purpose the revised penal laws, as amended, and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
772,SBN-381,"an act to impose the death penalty on the heinous crime of kidnapping, amending for that purpose the revised penal laws, as amended, and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
832,SBN-321,"an act institutionalizing the implementation of the government internship program, providing funds for its implementation and for other purposes",Pending in the Committee,"Poe, Grace"
833,SBN-320,"an act to modernize all public schools and state colleges and universities in the philippines, appropriating funds therefor, and for other purposes",Pending in the Committee,"Poe, Grace"
835,SBN-318,"an act further amending commonwealth act no. 146, otherwise known as the public service act, as amended, and for other purposes",Pending in the Committee,"Poe, Grace"
842,SBN-311,"an act prohibiting a ‘no permit, no exam’ policy or any such policy that prevents students of any educational institution from taking their examinations due to unpaid tuition and other school fees",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
843,SBN-310,an act institutionalizing good manners and right conduct and character education in the curriculum of elementary and secondary level,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
846,SBN-307,"an act amending republic act no. 8972, otherwise known as the solo parents’ welfare act of 2000, by providing for additional benefits and penal provision for violations of the act",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
847,SBN-306,"an act granting retirement benefits to all elective or appointive barangay officials who have rendered a consecutive period of nine (9) years or three terms of public service in the barangay, and appropriating funds therefor",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
900,SBN-253,an act upgrading the benefits and incentives of barangay tanod members who have rendered at least one year of service in the barangay government,Pending in the Committee,"Lacson, Panfilo ""Ping"" M."
901,SBN-252,"an act granting additional insurance benefits to barangay chairmen, providing funds for the payment of its premiums, and for other purposes",Pending in the Committee,"Lacson, Panfilo ""Ping"" M."
902,SBN-251,"an act institutionalizing the income classification of provinces, cities and municipalities, and for other purposes",Pending in the Committee,"Lacson, Panfilo ""Ping"" M."
918,SBN-235,"an act providing for security of tenure for all casual and contractual employee of the government who have rendered the prescribed years of service in the national government and the local government units, and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
920,SBN-233,an act creating barangay community peace and order council for the utilization of barangay officials and its constituents in crime prevention and for other purposes,Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
921,SBN-232,"an act establishing a crisis center for street children in every region of the philippines, appropriating funds therefor and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
922,SBN-231,"an act providing police scholarships to qualified students in all barangay, establishing for this purpose the police scholarship program, appropriating funds therefor and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
923,SBN-230,"an act expanding the use of the legal assistance fund, amending for the purpose section 26 of republic act no. 8042, otherwise known as the ‘migrant workers and overseas filipinos act of 1995’, as amended, and for other purposes",Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
925,SBN-228,an act mandating the inclusion of substance abuse prevention education in the k to 12 curriculum and for other purposes,Pending in the Committee,"Dela Rosa, Ronald ""Bato"""
936,SBN-217,"an act requiring industries engaged in the exploitation of natural resources to give preferential employment to local residents, amending for the purpose the labor code of the philippines",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
938,SBN-215,"an act providing incentives to all barangay officials, including barangay tanods and members of the lupong tagapamayapa, and barangay employees",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
939,SBN-214,"an act amending republic act 10533, otherwise known as the enhanced basic education act of 2013, for the integration of an agricultural strand in the academic track of the senior high school program and for other purposes",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
940,SBN-213,"an act authorizing the president, for a limited period and subject to certain restrictions, to exercise emergency powers to effectively address the traffic and congestion crisis, and appropriating funds therefor",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
941,SBN-212,an act providing for a mandatory basic military and police training program in all senior high school levels in public and private educational institutions,Pending in the Committee,"Tolentino, Francis ""Tol"" N."
942,SBN-211,"an act creating the department of disaster management, defining its powers and functions, and appropriating funds therefor, and for other purposes",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
944,SBN-209,an act providing for rules on the duty to render assistance at sea in accordance with relevant international conventions to which the philippines is a state party and for other purposes,Pending in the Committee,"Tolentino, Francis ""Tol"" N."
945,SBN-208,"an act creating the department of water resources management, defining its powers and functions, and appropriating funds therefor, and for other purposes",Pending in the Committee,"Tolentino, Francis ""Tol"" N."
946,SBN-207,"an act reinstating the death penalty for certain heinous crimes involving dangerous drugs and plunder, amending for that purpose other special penal laws, and for other purposes",Pending in the Committee,"Go, Christopher Lawrence T."
947,SBN-206,"an act amending republic act no. 8972 otherwise known as the solo parents welfare act of 2000, providing additional benefits, and for other purposes",Pending in the Committee,"Go, Christopher Lawrence T."
948,SBN-205,"an act creating the department of disaster resilience, defining its powers and functions, and appropriating funds therefor",Pending in the Committee,"Go, Christopher Lawrence T."
949,SBN-204,"an act strengthening and modernizing the bureau of fire protection, providing funds therefor, and for other purposes",Pending in the Committee,"Go, Christopher Lawrence T."
950,SBN-203,"an act providing for a national housing development, production and financing program, regularizing its appropriation for its implementation",Pending in the Committee,"Go, Christopher Lawrence T."
955,SBN-198,"an act establishing the department of disaster risk reduction and management, amending thereby r. a. no. 10121, and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
956,SBN-197,"an act banning the use of cigarettes, electronic cigarettes or vapes, and similar tobacco products in all public and enclosed spaces",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
957,SBN-196,an act mandating all food service establishments to provide free safe and clean potable service water for their customers,Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
958,SBN-195,"an act creating the department of water resources, defining its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
960,SBN-193,an act creating the philippine boxing commission and combat sports commission and providing funds therefor,Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
961,SBN-192,"an act creating the department of sports, defining its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
963,SBN-190,"an act authorizing public-private partnership for the people (p4), appropriating funds therefor, and for other purposes",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
964,SBN-189,"an act imposing death penalty and increased penalties on certain heinous crimes which involves manufacturing and trafficking of dangerous drugs, amending for the purpose other special penal laws, and for other purposes.",Pending in the Committee,"Pacquiao, Emmanuel ""Manny"" D."
1023,SBN-130,"an act providing for a magna carta for tricycle drivers and operators, institutionalizing mechanisms for its implementation and for other purposes",Pending in the Committee,"Poe, Grace"
1030,SBN-123,"an act rationalizing the economic regulation of water utilities, creating the water regulatory commission and for other purposes",Pending in the Committee,"Poe, Grace"
1034,SBN-119,"an act requiring all government and private hospitals, medical centers, clinics, infirmaries and puericulture centers to give free medical and dental assistance to indigent children",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
1036,SBN-117,an act exempting from income tax compensation given to teachers for serving as members of the electoral board for national or local elections,Pending in the Committee,"Binay, Maria Lourdes Nancy S."
1037,SBN-116,"an act allowing women to revert to their maiden surname, establishing a procedure for reversion and appropriating funds therefore",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
1038,SBN-115,"an act increasing the monthly minimum wage of public school teachers to twenty eight thousand pesos (p28,000.00) and non-teaching personnel to sixteen thousand pesos (p16,000.00)",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
1041,SBN-112,"an act providing for the regularization of punong barangay, sangguniang barangay members, sangguniang kabataan chairman, barangay secretary and barangay treasurer",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
1042,SBN-111,"an act amending republic act no. 9262, defining electronic violence against women or e-vaw, providing protective measures and prescribing penalties therefor, and for other purposes",Pending in the Committee,"Binay, Maria Lourdes Nancy S."
1045,SBN-108,"an act reorganizing the national council on disability affairs into the national commission on disability affairs, defining its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
1048,SBN-105,an act institutionalizing the poverty reduction through social entrepreneurship (present) program and promoting social enterprises with the poor as primary stakeholders,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
1050,SBN-103,an act to promote rural health by providing for an accelerated program for the construction of a potable water supply system in every barangay in the country within three years,Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
1052,SBN-101,"an act strengthening the barangay unit through support for barangay officials and barangay volunteer workers, amending republic act no. 7160, providing funds therefor, and for other purposes",Pending in the Committee,"Zubiri, Juan Miguel ""Migz"" F."
1053,SBN-100,"an act converting the national center for geriatric health into a corporate body to be known as the ‘national center for geriatric health and research institute,’ and appropriating funds therefor",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
1054,SBN-99,"an act integrating computer science in the curriculum of the enhanced basic education (k-12) program, appropriating funds therefor, and for other purposes",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
1056,SBN-97,"an act providing for the share in the national taxes of local government units, amending for this purpose republic act no. 7160, otherwise known as the local government code of 1991",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
1058,SBN-95,an act providing a socialized microfinancing program for micro enterprises thereby promoting entrepreneurship,Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
1059,SBN-94,"an act providing for a value for money procurement, amending for the purpose republic act no. 9184, otherwise known as ‘the government procurement reform act,’ and for other purposes",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
1060,SBN-93,"an act instituting the expanded balikbayan program, amending for the purpose republic act no. 6768, as amended by republic act no. 9174, and for other purposes",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
1061,SBN-92,"an act creating the department of overseas filipino workers, defining its powers and functions, appropriating funds therefor, and for other purposes",Pending in the Committee,"Pimentel, Aquilino ""Koko"" III"
1063,SBN-90,"an act creating the lake lanao development authority, defining its powers, functions, and duties, and for other purposes",Pending in the Committee,"Gordon, Richard J."
1064,SBN-89,"an act increasing the number of rays of the sun on the philippine flag from eight to nine, amending for this purpose republic act no. 8491, otherwise known as the flag and heraldic code of the philippines",Pending in the Committee,"Gordon, Richard J."
1065,SBN-88,"an act institutionalizing an emergency medical services system (emss), creating for the purpose the national emss council, and appropriating funds therefor",Pending in the Committee,"Gordon, Richard J."
1066,SBN-87,"an act providing for an ‘opt-out’ system of organ and tissue donation, promoting the right to health, providing penalties therefor, and for other purposes",Pending in the Committee,"Gordon, Richard J."
1068,SBN-85,"an act requiring and regulating the use of wearable body cameras and dashboard cameras by law enforcement officers in the course of conducting a search or making an arrest, providing funds therefor, and for other purposes",Pending in the Committee,"Gordon, Richard J."
1069,SBN-84,"an act providing for the protection, security, and benefits of whistleblowers, appropriating funds therefor, and for other purposes",Pending in the Committee,"Gordon, Richard J."
1071,SBN-82,"an act establishing the right of children for the establishment of their filiation, requiring therefor mandatory paternity test for the determination of their filiation",Pending in the Committee,"Gordon, Richard J."
1128,SBN-25,"an act regulating the sale of prepaid subscriber identity module (sim) cards, providing penalties for violation thereof, and for other purposes",Pending in the Committee,"Lacson, Panfilo ""Ping"" M."
